"team","field_third","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","stuff_rate_generated","carries_faced","carries_charted","carry_share_allowed","evidence_class","output_class","window"
"ARI","LEFT",1644,4.43734793187348,-0.0791833517852491,0.380778588807786,0.104622871046229,0.228710462287105,5668,5605,0.293309545049063,"STRONG","OBSERVED","career"
"ARI","MIDDLE",2255,3.97560975609756,-0.0648618676020797,0.408869179600888,0.0634146341463415,0.189356984478936,5668,5605,0.402319357716325,"STRONG","OBSERVED","career"
"ARI","RIGHT",1706,4.64771395076202,-0.0562315582082212,0.404454865181711,0.1031652989449,0.224501758499414,5668,5605,0.304371097234612,"STRONG","OBSERVED","career"
"ATL","LEFT",2347,4.24115892628888,-0.0558639129862352,0.416276097145292,0.0749893481039625,0.186621218576907,5616,5553,0.422654421033676,"STRONG","OBSERVED","career"
"ATL","MIDDLE",850,4.28235294117647,-0.051449857464363,0.436470588235294,0.0670588235294118,0.149411764705882,5616,5553,0.153070412389699,"STRONG","OBSERVED","career"
"ATL","RIGHT",2356,4.4660441426146,-0.0259129562023709,0.42402376910017,0.0734295415959253,0.166383701188455,5616,5553,0.424275166576625,"STRONG","OBSERVED","career"
"BAL","LEFT",2129,4.28135274776891,-0.0828228852117869,0.375763269140442,0.0742132456552372,0.178017848755284,5200,5143,0.413960723313241,"STRONG","OBSERVED","career"
"BAL","MIDDLE",887,3.29425028184893,-0.118459130987698,0.37880496054115,0.0394588500563698,0.204058624577227,5200,5143,0.172467431460237,"STRONG","OBSERVED","career"
"BAL","RIGHT",2127,3.99059708509638,-0.101199548823576,0.374236013164081,0.0639398213446168,0.19181946403385,5200,5143,0.413571845226521,"STRONG","OBSERVED","career"
"BUF","LEFT",1929,4.89320891653707,0.0239530235468853,0.421980300673924,0.119232763089684,0.224468636599274,5554,5485,0.351686417502279,"STRONG","OBSERVED","career"
"BUF","MIDDLE",1708,4.08665105386417,-0.0555652029651247,0.416276346604216,0.0720140515222482,0.179742388758782,5554,5485,0.311394712853236,"STRONG","OBSERVED","career"
"BUF","RIGHT",1848,4.45075757575758,-0.0473642734816085,0.378787878787879,0.0844155844155844,0.231060606060606,5554,5485,0.336918869644485,"STRONG","OBSERVED","career"
"CAR","LEFT",2036,4.32072691552063,-0.041626929289602,0.390471512770138,0.081041257367387,0.196954813359528,5491,5431,0.374884919904253,"STRONG","OBSERVED","career"
"CAR","MIDDLE",1431,4.32704402515723,0.0156167103479297,0.424178895877009,0.0775681341719078,0.17120894479385,5491,5431,0.263487387221506,"STRONG","OBSERVED","career"
"CAR","RIGHT",1964,4.7367617107943,-0.0186338169889337,0.407331975560081,0.0972505091649695,0.191446028513238,5491,5431,0.36162769287424,"STRONG","OBSERVED","career"
"CHI","LEFT",2373,4.53813737884535,-0.0425384273933778,0.405815423514539,0.0804888327012221,0.168563000421408,5628,5585,0.424888093106535,"STRONG","OBSERVED","career"
"CHI","MIDDLE",844,4.1872037914692,-0.0791002047215741,0.393364928909952,0.0770142180094787,0.16824644549763,5628,5585,0.151119068934646,"STRONG","OBSERVED","career"
"CHI","RIGHT",2368,4.47972972972973,-0.0218896591367634,0.404983108108108,0.0882601351351351,0.173986486486486,5628,5585,0.423992837958818,"STRONG","OBSERVED","career"
"CIN","LEFT",2307,4.7767663632423,0.00619886674606588,0.424360641525791,0.0966623320329432,0.168183788469874,5620,5575,0.413811659192825,"STRONG","OBSERVED","career"
